Race started at: 2025-05-02 20:09:10.102926
Track: forza
Stage: Unknown
Training: Enabled
--------------------------------------------------------------------------------
Connected to server at 2025-05-02 20:09:10.113933
Step 100: Speed=6.1, Pos=1, Damage=0.0, Time=1.0
Step 200: Speed=21.2, Pos=2, Damage=0.0, Time=3.1
Step 300: Speed=43.0, Pos=3, Damage=0.0, Time=5.3
Step 400: Speed=49.6, Pos=4, Damage=0.0, Time=7.5
Step 500: Speed=59.8, Pos=4, Damage=0.0, Time=9.6
Step 600: Speed=72.7, Pos=4, Damage=0.0, Time=11.6
Step 700: Speed=61.5, Pos=4, Damage=164.0, Time=13.6
Step 800: Speed=65.1, Pos=4, Damage=164.0, Time=15.6
Step 900: Speed=77.5, Pos=4, Damage=164.0, Time=17.7
Step 1000: Speed=71.3, Pos=4, Damage=164.0, Time=19.9
Step 1100: Speed=64.0, Pos=4, Damage=164.0, Time=22.1
Step 1200: Speed=55.2, Pos=4, Damage=164.0, Time=24.3
Step 1300: Speed=50.7, Pos=4, Damage=164.0, Time=26.5
Step 1400: Speed=42.4, Pos=4, Damage=164.0, Time=28.7
Step 1500: Speed=34.5, Pos=4, Damage=164.0, Time=30.9
Step 1600: Speed=23.6, Pos=4, Damage=164.0, Time=33.0
Step 1700: Speed=16.7, Pos=4, Damage=164.0, Time=35.0
Step 1800: Speed=11.0, Pos=4, Damage=164.0, Time=37.0
Step 1900: Speed=0.4, Pos=4, Damage=164.0, Time=39.0
Step 2000: Speed=0.4, Pos=4, Damage=164.0, Time=41.0
Step 2100: Speed=0.8, Pos=4, Damage=164.0, Time=43.0
Step 2200: Speed=0.8, Pos=4, Damage=164.0, Time=45.0
Step 2300: Speed=0.0, Pos=4, Damage=164.0, Time=47.0
Step 2400: Speed=0.2, Pos=4, Damage=164.0, Time=49.0
Step 2500: Speed=0.3, Pos=4, Damage=164.0, Time=51.0
Step 2600: Speed=0.5, Pos=4, Damage=164.0, Time=53.0
Step 2700: Speed=0.2, Pos=4, Damage=164.0, Time=55.0
Step 2800: Speed=0.3, Pos=4, Damage=164.0, Time=57.0
Step 2900: Speed=0.3, Pos=4, Damage=164.0, Time=59.0
Step 3000: Speed=0.6, Pos=4, Damage=164.0, Time=61.0
Step 3100: Speed=0.4, Pos=4, Damage=164.0, Time=63.0
Step 3200: Speed=0.2, Pos=4, Damage=164.0, Time=65.1
Step 3300: Speed=0.2, Pos=4, Damage=164.0, Time=67.3
Step 3400: Speed=0.6, Pos=4, Damage=164.0, Time=69.5
Step 3500: Speed=0.6, Pos=4, Damage=164.0, Time=71.7
Step 3600: Speed=0.2, Pos=4, Damage=164.0, Time=73.9
Step 3700: Speed=0.2, Pos=4, Damage=164.0, Time=76.1
