Race started at: 2025-05-02 20:39:31.858390
Track: forza
Stage: Unknown
Training: Enabled
--------------------------------------------------------------------------------
Connected to server at 2025-05-02 20:39:31.863381
Step 100: Speed=7.0, Pos=1, Damage=0.0, Time=1.0
Step 200: Speed=25.0, Pos=3, Damage=0.0, Time=3.1
Step 300: Speed=53.2, Pos=3, Damage=0.0, Time=5.3
Step 400: Speed=24.2, Pos=4, Damage=1.0, Time=7.5
Step 500: Speed=0.7, Pos=4, Damage=1.0, Time=9.6
Step 600: Speed=0.0, Pos=4, Damage=1.0, Time=11.6
Step 700: Speed=0.0, Pos=4, Damage=1.0, Time=13.6
Step 800: Speed=0.0, Pos=4, Damage=1.0, Time=15.6
Step 900: Speed=0.0, Pos=4, Damage=1.0, Time=17.7
Step 1000: Speed=0.0, Pos=4, Damage=1.0, Time=19.9
Step 1100: Speed=0.1, Pos=4, Damage=1.0, Time=22.1
Step 1200: Speed=0.1, Pos=4, Damage=1.0, Time=24.3
Step 1300: Speed=0.1, Pos=4, Damage=1.0, Time=26.5
Step 1400: Speed=-0.0, Pos=4, Damage=1.0, Time=28.7
Step 1500: Speed=0.4, Pos=4, Damage=1.0, Time=30.9
